levelstart
14 144
632 142
38 80 24
252 160 23
504 32 22
416 32 22
402 320 14
388 226 14
410 410 14
340 410 14
556 336 7
810 336 7
864 336 7
740 130 7
508 144 3
340 144 17
386 144 17

16, 16, 16, 16, 16, 16, 12, 16, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
16, 16, 16, 16, 16, 10, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
16, 16, 16, 16, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
16, 12, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 31, 31, 31, 27, 25, 0, 23, 31, 31, 31, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 31, 31, 25, 0, 19, 32, 32, 32, 30, 0, 0, 19, 28, 32, 32, 30, 0, 0, 0, 23, 29, 0, 19, 31, 29, 0, 19, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 32, 30, 0, 0, 0, 24, 32, 32, 30, 0, 0, 0, 0, 24, 28, 30, 0, 0, 0, 24, 32, 25, 0, 24, 30, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
12, 11, 11, 11, 27, 27, 27, 25, 0, 0, 19, 27, 27, 31, 31, 27, 27, 32, 32, 30, 0, 0, 0, 24, 32, 32, 30, 0, 0, 0, 0, 22, 0, 22, 0, 0, 0, 24, 30, 0, 19, 32, 30, 0, 0, 0, 0, 19, 27, 27, 27, 25, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 0, 0, 20, 28, 26, 0, 0, 0, 20, 28, 28, 26, 0, 0, 0, 19, 28, 27, 26, 0, 0, 0, 24, 32, 25, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 19, 32, 30, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 19, 27, 27, 27, 25, 0, 0, 0, 18, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0
