levelstart
28 136
1002 430
814 428 20
832 428 20
792 468 20
920 450 20
932 382 20
946 342 20
892 342 20
382 290 4
432 184 4
520 154 4
614 114 4
740 102 4
612 242 4
650 280 5
512 240 5
320 132 5
940 90 27
582 44 25
462 44 25
42 346 24

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 23, 29, 0, 0, 0, 0, 0, 0, 0, 23, 29, 0, 0, 0, 0, 0, 0, 0, 23, 31
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 31, 27, 27, 27, 25, 0, 0, 19, 27, 27, 27, 27, 32, 30, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 20, 28
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 29, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 29, 0, 0, 0, 0, 0, 0, 0, 23, 31
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 31, 31, 27, 25, 0, 0, 0, 19, 27, 32, 32, 31, 31, 31, 31, 31, 31, 31, 32, 32
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 31, 31, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 31, 31, 25, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 24, 32, 28, 32, 32, 28, 32, 32, 28, 32, 32
0, 0, 0, 0, 0, 7, 15, 15, 15, 15, 15, 15, 15, 15, 15, 9, 0, 0, 0, 19, 31, 31, 25, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 20, 26, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 24, 30, 0, 24, 30, 0, 24, 32
15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 10, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 17, 0, 17, 0, 0, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 24, 30, 0, 24, 30, 0, 24, 32
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 31, 31, 25, 0, 17, 0, 19, 31, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 24, 30, 0, 24, 30, 0, 24, 32
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 19, 31, 31, 25, 0, 0, 0, 24, 30, 0, 17, 0, 17, 0, 24, 30, 0, 0, 19, 31, 31, 25, 0, 0, 0, 0, 0, 0, 24, 30, 0, 24, 30, 0, 24, 30, 0, 24, 32
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 24, 30, 0, 0, 17, 0, 0, 24, 30, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 24, 30, 0, 24, 30, 0, 24, 32
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 20, 26, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 24, 30, 0, 24, 30, 0, 24, 30, 0, 24, 32
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 0, 20, 26, 0, 20, 26, 0, 20, 28
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 0, 0, 0, 0, 0, 0, 24, 30, 0, 0, 0, 0, 24, 30, 0, 0, 0, 19, 31, 31, 25, 0, 0, 19, 27, 27, 25, 0, 0, 0, 19, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 0, 0, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 20, 26, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15
16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 27, 31, 31, 27, 26, 0, 23, 29, 0, 0, 0, 0, 7, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16
